category,semantic_key,ascii,label_de,label_en,tabler_icon,icon_only_allowed,role
stock,stock.dry,[DRY],Trockenlager,Dry storage,building-warehouse,yes,neutral
stock,stock.fridge,[COLD],Kühlraum,Cold storage,snowflake,yes,neutral
stock,stock.freezer,[ICE],Tiefkühler,Freezer,snowflake,yes,neutral
order,order.shopping_list,[L],Einkaufsliste,Shopping list,list-check,yes,neutral
order,order.cart,[C],Warenkorb,Cart,shopping-cart,yes,neutral
order,order.supplier,[SUP],Lieferant,Supplier,truck-delivery,yes,neutral
order,order.order,[ORD],Bestellung,Order,clipboard-list,yes,neutral
order,order.ordered,[>],Bestellt,Ordered,send,yes,neutral
order,order.delivered,[OK],Geliefert,Delivered,truck-delivery,yes,success
order,order.cancelled,[X],Storniert,Cancelled,circle-x,no,danger
data,data.price,[CHF],Preis,Price,currency-frank,yes,neutral
data,data.calculation,[SUM],Kalkulation,Calculation,calculator,yes,neutral
data,data.total,[=],Total,Total,sum,yes,neutral
data,data.csv,[CSV],CSV,CSV,file-type-csv,yes,neutral
data,data.pdf,[PDF],PDF,PDF,file-type-pdf,yes,neutral
data,data.image,[IMG],Bild,Image,photo,yes,neutral
data,data.history,[HIS],Verlauf,History,history,yes,neutral
data,data.revision,[REV],Revision,Revision,versions,yes,neutral
data,data.manual,[M],Manuell,Manual,hand-click,yes,neutral
data,data.inherited,[->],Geerbt,Inherited,hierarchy,yes,neutral
data,data.automatic,[A],Automatisch,Automatic,automation,yes,neutral
data,data.ai,[AI],KI-Vorschlag,AI suggestion,sparkles,yes,neutral
admin,admin.user,[U],Benutzer,User,user,yes,neutral
admin,admin.users,[UU],Benutzer,Users,users,yes,neutral
admin,admin.role,[R],Rolle,Role,user-shield,yes,neutral
admin,admin.permission,[P],Berechtigung,Permission,key,yes,neutral
admin,admin.admin,[ADM],Administrator,Administrator,shield-lock,yes,neutral
admin,admin.settings,[SET],Einstellungen,Settings,settings,yes,neutral
admin,admin.appearance,[UI],Erscheinungsbild,Appearance,palette,yes,neutral
admin,admin.interface,[API],Schnittstelle,Interface,plug-connected,yes,neutral
admin,admin.api_key,[KEY],API-Schlüssel,API key,key,yes,neutral
admin,admin.connected,[OK],Verbunden,Connected,plug-connected,yes,neutral
admin,admin.disconnected,[X],Getrennt,Disconnected,plug-off,yes,neutral
admin,admin.sync,[SYNC],Synchronisieren,Synchronize,refresh,yes,neutral
admin,admin.webhook,[WH],Webhook,Webhook,webhook,yes,neutral
admin,admin.opening_hours,[TIME],Öffnungszeiten,Opening hours,clock-hour-4,yes,neutral
admin,admin.area,[AREA],Bereich,Area,layout,yes,neutral
allergen,allergen.gluten,[GL],Gluten,Gluten,wheat,yes,warning
allergen,allergen.crustaceans,[KR],Krebstiere,Crustaceans,crab,yes,warning
allergen,allergen.eggs,[EI],Eier,Eggs,egg,yes,warning
allergen,allergen.fish,[FI],Fisch,Fish,fish,yes,warning
allergen,allergen.peanuts,[ER],Erdnüsse,Peanuts,peanut,yes,warning
allergen,allergen.soy,[SO],Soja,Soy,seedling,yes,warning
allergen,allergen.milk,[MI],Milch,Milk,milk,yes,warning
allergen,allergen.nuts,[SN],Schalenfrüchte,Tree nuts,nut,yes,warning
allergen,allergen.celery,[SE],Sellerie,Celery,carrot,yes,warning
allergen,allergen.mustard,[SF],Senf,Mustard,bottle,yes,warning
allergen,allergen.sesame,[SS],Sesam,Sesame,dots,yes,warning
allergen,allergen.sulfites,[SU],Sulfite,Sulphites,flask,yes,warning
allergen,allergen.lupin,[LU],Lupinen,Lupin,flower,yes,warning
allergen,allergen.molluscs,[WT],Weichtiere,Molluscs,shell,yes,warning
allergen,allergen.none,[0],Keine Allergene,No allergens,circle-check,no,neutral
allergen,allergen.unknown,[?],Nicht erfasst,Not recorded,alert-triangle,no,neutral
allergen,allergen.inherited,[->],Geerbt,Inherited,hierarchy,no,neutral
allergen,allergen.manual,[M],Manuell,Manual,hand-click,no,neutral
navigation,navigation.dashboard,[HOME],Übersicht,Dashboard,home,no,neutral
navigation,navigation.weekplan,[W],Wochenplan,Weekly plan,calendar-week,no,neutral
navigation,navigation.menus,[MENU],Menüs,Menus,tools-kitchen-2,no,neutral
navigation,navigation.components,[COMP],Bausteine,Components,blocks,no,neutral
navigation,navigation.ingredients,[ING],Zutaten,Ingredients,carrot,no,neutral
navigation,navigation.recipes,[REC],Rezepte,Recipes,recipe,no,neutral
navigation,navigation.cookbooks,[BOOK],Kochbücher,Cookbooks,book,no,neutral
navigation,navigation.templates,[TPL],Gerichtvorlagen,Dish templates,template,no,neutral
navigation,navigation.shopping,[SHOP],Einkaufslisten,Shopping lists,list-check,no,neutral
navigation,navigation.orders,[ORD],Bestellung,Orders,clipboard-list,no,neutral
navigation,navigation.stock,[ST],Lager,Stock,packages,no,neutral
navigation,navigation.costing,[SUM],Kalkulation,Costing,calculator,no,neutral
navigation,navigation.screens,[SCR],Vorschau & Bildschirme,Preview & screens,device-tv,no,neutral
navigation,navigation.settings,[SET],Einstellungen,Settings,settings,no,neutral
