schema_version;profil;datum;wochentag;mahlzeit;menueart;external_id;titel;beschreibung;beilagen;labels;allergene_enthaelt;allergene_spuren;herkunft;hinweis;zustand;zustand_text
2;patient;2026-09-04;Freitag;LUNCH;VEGGIE;PATIENT-2026-09-04-LUNCH-2;Falafel-Teller;Hummus · Ofengemüse;Hummus|Ofengemüse;VEGAN;;;;;offen;
2;patient;2026-09-04;Freitag;DINNER;MENU_1;PATIENT-2026-09-04-DINNER-1;Griessbrei mit Zwetschgenkompott;Zimt und Zucker;Zwetschgenkompott;VEGETARIAN;MILK|GLUTEN;;;;offen;
2;patient;2026-09-04;Freitag;DINNER;VEGGIE;PATIENT-2026-09-04-DINNER-2;Kokos-Griessbrei;Zwetschgenkompott;Zwetschgenkompott;VEGAN;MILK|GLUTEN;;;;offen;
2;patient;2026-09-05;Samstag;LUNCH;MENU_1;PATIENT-2026-09-05-LUNCH-1;Ofen-Pouletschenkel;Kartoffelwedges · Marktgemüse;Kartoffelwedges|Marktgemüse;;;;Poulet=CH;;offen;
2;patient;2026-09-05;Samstag;LUNCH;VEGGIE;PATIENT-2026-09-05-LUNCH-2;Kichererbsen-Eintopf;Kartoffelwedges · Marktgemüse;Kartoffelwedges|Marktgemüse;VEGAN;;;;;offen;
2;patient;2026-09-05;Samstag;DINNER;MENU_1;PATIENT-2026-09-05-DINNER-1;Bündner Gerstensuppe;Hausbrot;Hausbrot;;GLUTEN;;Rind=CH;;offen;
2;patient;2026-09-05;Samstag;DINNER;VEGGIE;PATIENT-2026-09-05-DINNER-2;Gemüse-Gerstensuppe;Hausbrot;Hausbrot;VEGETARIAN;GLUTEN;;;;offen;
2;patient;2026-09-06;Sonntag;LUNCH;MENU_1;PATIENT-2026-09-06-LUNCH-1;Rindsschmorbraten;Kartoffelstock · Karotten;Kartoffelstock|Karotten;;;;Rind=CH;;offen;
2;patient;2026-09-06;Sonntag;LUNCH;VEGGIE;PATIENT-2026-09-06-LUNCH-2;Nussbraten mit Kräutersauce;Kartoffelstock · Karotten;Kartoffelstock|Karotten;VEGETARIAN;;NUTS;;;offen;
2;patient;2026-09-06;Sonntag;DINNER;MENU_1;PATIENT-2026-09-06-DINNER-1;Pastetli mit Brätkügeli;Erbsen und Rüebli · Blattsalat;Erbsen und Rüebli|Blattsalat;;GLUTEN;;Kalb=CH;;offen;
2;patient;2026-09-06;Sonntag;DINNER;VEGGIE;PATIENT-2026-09-06-DINNER-2;Gemüse-Pastetli;Erbsen und Rüebli · Blattsalat;Erbsen und Rüebli|Blattsalat;VEGETARIAN;GLUTEN;;;;offen;
